,state,updated,cases,deaths,recovered,casesPerOneMillion,deathsPerOneMillion,population
0,California,1765670734550,12711918,112443,0,321721,2846,39512223
1,Texas,1765670734550,9190299,104793,0,316952,3614,28995881
2,Florida,1765670734550,8048191,95206,0,374722,4433,21477737
3,New York,1765670734550,7587861,83374,0,390050,4286,19453561
4,Illinois,1765670734550,4136659,42005,0,326446,3315,12671821
5,Ohio,1765670734550,3741277,43896,3684603,320065,3755,11689100
6,Pennsylvania,1765670734550,3565499,51480,0,278511,4021,12801989
7,North Carolina,1765670734550,3501404,29059,0,333846,2771,10488084
8,Michigan,1765670734550,3306221,44762,0,331057,4482,9986857
9,New Jersey,1765670734550,3295020,36873,0,370969,4151,8882190
10,Georgia,1765670734550,3287483,44069,0,309631,4151,10617423
11,Tennessee,1765670734550,2729641,30729,0,399703,4500,6829174
12,Arizona,1765670734550,2607545,34402,0,358242,4726,7278717
13,Massachusetts,1765670734550,2367542,25586,0,343495,3712,6892503
14,Virginia,1765670734550,2315784,23748,0,271311,2782,8535519
15,Indiana,1765670734550,2208419,28018,0,328037,4162,6732219
16,Washington,1765670734551,2070848,17339,0,271947,2277,7614893
17,Wisconsin,1765670734551,2043838,16758,0,351028,2878,5822434
18,Minnesota,1765670734551,1900794,16458,0,337042,2918,5639632
19,Colorado,1765670734551,1874746,15552,0,325548,2701,5758736
20,South Carolina,1765670734551,1857853,20311,0,360838,3945,5148714
21,Kentucky,1765670734551,1808735,19183,0,404849,4294,4467673
22,Missouri,1765670734551,1780715,22778,0,290140,3711,6137428
23,Louisiana,1765670734551,1684058,19270,0,362257,4145,4648794
24,Alabama,1765670734551,1659936,21138,0,338542,4311,4903185
25,Maryland,1765670734551,1451442,17929,0,240079,2966,6045680
26,Oklahoma,1765670734551,1306350,16157,1288527,330139,4083,3956971
27,Utah,1765670734551,1137615,5719,0,354844,1784,3205958
28,Arkansas,1765670734551,1062606,13246,0,352112,4389,3017804
29,Iowa,1765670734551,1058274,10797,0,335420,3422,3155070
30,Mississippi,1765670734551,1000415,13474,0,336144,4527,2976149
31,Oregon,1765670734551,992925,9764,0,235417,2315,4217737
32,Connecticut,1765670734551,983652,12354,0,275897,3465,3565287
33,Kansas,1765670734551,946564,10229,934730,324910,3511,2913314
34,Nevada,1765670734551,923059,12485,0,299679,4053,3080156
35,New Mexico,1765670734551,725653,9623,0,346072,4589,2096829
36,West Virginia,1765670734551,703856,8247,0,392745,4602,1792147
37,Nebraska,1765670734551,574399,5063,566979,296938,2617,1934408
38,Idaho,1765670734551,525825,5482,0,294239,3068,1787065
39,Rhode Island,1765670734551,443803,4166,0,418935,3933,1059361
40,Hawaii,1765670734551,418369,2167,0,295485,1531,1415872
41,New Hampshire,1765670734552,382013,3329,0,280952,2448,1359711
42,Delaware,1765670734552,350706,3663,0,360155,3762,973764
43,Maine,1765670734552,346182,3394,0,257535,2525,1344212
44,Montana,1765670734552,333758,3712,329725,312280,3473,1068778
45,North Dakota,1765670734552,309990,2513,0,406778,3298,762062
46,Alaska,1765670734552,301513,1485,0,412159,2030,731545
47,South Dakota,1765670734552,282895,3231,0,319779,3652,884659
48,Wyoming,1765670734552,196126,2126,0,338873,3673,578759
49,District Of Columbia,1765670734552,178747,1434,0,253273,2032,705749
50,Vermont,1765670734552,155080,1139,0,248530,1825,623989
51,Puerto Rico,1765670734552,1473460,7326,0,435042,2163,3386941
52,Guam,1765670734552,61139,420,60681,0,0,0
53,United States Virgin Islands,1765670734552,26148,133,26002,0,0,0
54,Northern Mariana Islands,1765670734552,14341,41,0,0,0,0
55,American Samoa,1765670734552,8359,34,0,0,0,0
56,Veteran Affairs,1765670734552,958962,26087,931580,0,0,0
57,US Military,1765670734552,742808,689,0,0,0,0
58,Navajo Nation,1765670734552,89106,2268,0,0,0,0
59,Federal Prisons,1765670734552,71485,324,0,0,0,0
60,Grand Princess Ship,1765670734552,122,7,115,0,0,0
61,Wuhan Repatriated,1765670734552,3,0,3,0,0,0
62,Diamond Princess Ship,1765670734552,46,0,46,0,0,0
